mes_trigo,precio_dolar_trigo_ton,precio_COP_trigo_ton,año_impo,impo_canti_miles_ton,fecha_ipc,ipc %,fecha_trm, trm 
12/01/1992,$ 148," $ 109,007 ",1960,157,1997-12,0.61,11/01/1991," $ 2,777 "
01/01/1993,$ 156," $ 114,970 ",1961,157,1998-01,1.79,12/01/1991," $ 19,543 "
02/01/1993,$ 149," $ 111,020 ",1962,130,1998-02,3.28,01/01/1992," $ 19,966 "
03/01/1993,$ 148," $ 113,118 ",1963,146,1998-03,2.6,02/01/1992," $ 18,434 "
04/01/1993,$ 142," $ 104,668 ",1964,202,1998-04,2.9,03/01/1992," $ 19,856 "
05/01/1993,$ 137," $ 105,773 ",1965,236,1998-05,1.56,04/01/1992," $ 19,499 "
06/01/1993,$ 122," $ 95,030 ",1966,199,1998-06,1.22,05/01/1992," $ 20,453 "
07/01/1993,$ 128," $ 100,228 ",1967,273,1998-07,0.47,06/01/1992," $ 20,315 "
08/01/1993,$ 130," $ 95,723 ",1968,256,1998-08,0.03,07/01/1992," $ 21,848 "
09/01/1993,$ 131," $ 96,801 ",1969,217,1998-09,0.29,08/01/1992," $ 21,519 "
10/01/1993,$ 136," $ 110,298 ",1970,350,1998-10,0.35,09/01/1992," $ 20,925 "
11/01/1993,$ 147," $ 119,063 ",1971,446,1998-11,0.17,10/01/1992," $ 21,942 "
12/01/1993,$ 159," $ 127,505 ",1972,278,1998-12,0.91,11/01/1992," $ 21,677 "
01/01/1994,$ 153," $ 123,239 ",1973,472,1999-01,2.21,12/01/1992," $ 22,749 "
02/01/1994,$ 147," $ 120,074 ",1974,339,1999-02,1.7,01/01/1993," $ 23,101 "
03/01/1994,$ 141," $ 115,719 ",1975,339,1999-03,0.94,02/01/1993," $ 20,992 "
04/01/1994,$ 140," $ 115,026 ",1976,380,1999-04,0.78,03/01/1993," $ 23,706 "
05/01/1994,$ 140," $ 117,152 ",1977,524,1999-05,0.48,04/01/1993," $ 23,144 "
06/01/1994,$ 139," $ 117,247 ",1978,408,1999-06,0.28,05/01/1993," $ 24,163 "
07/01/1994,$ 137," $ 112,416 ",1979,649,1999-07,0.31,06/01/1993," $ 23,535 "
08/01/1994,$ 146," $ 118,974 ",1980,341,1999-08,0.5,07/01/1993," $ 24,645 "
09/01/1994,$ 159," $ 129,536 ",1981,555,1999-09,0.33,08/01/1993," $ 24,944 "
10/01/1994,$ 167," $ 140,933 ",1982,594,1999-10,0.35,09/01/1993," $ 24,291 "
11/01/1994,$ 162," $ 135,728 ",1983,650,1999-11,0.48,10/01/1993," $ 25,249 "
12/01/1994,$ 165," $ 136,509 ",1984,600,1999-12,0.53,11/01/1993," $ 24,418 "
01/01/1995,$ 156," $ 132,388 ",1985,600,2000-01,1.29,12/01/1993," $ 24,902 "
02/01/1995,$ 154," $ 131,260 ",1986,625,2000-02,2.3,01/01/1994," $ 25,288 "
03/01/1995,$ 150," $ 130,117 ",1987,675,2000-03,1.71,02/01/1994," $ 22,893 "
04/01/1995,$ 149," $ 129,863 ",1988,700,2000-04,1,03/01/1994," $ 25,414 "
05/01/1995,$ 159," $ 139,198 ",1989,706,2000-05,0.52,04/01/1994," $ 24,880 "
06/01/1995,$ 170," $ 148,814 ",1990,693,2000-06,-0.02,05/01/1994," $ 26,084 "
07/01/1995,$ 191," $ 170,337 ",1991,678,2000-07,-0.04,06/01/1994," $ 24,935 "
08/01/1995,$ 184," $ 172,447 ",1992,883,2000-08,0.32,07/01/1994," $ 25,385 "
09/01/1995,$ 194," $ 186,702 ",1993,920,2000-09,0.43,08/01/1994," $ 25,255 "
10/01/1995,$ 204," $ 200,862 ",1994,834,2000-10,0.15,09/01/1994," $ 24,893 "
11/01/1995,$ 204," $ 204,041 ",1995,1003,2000-11,0.33,10/01/1994," $ 26,010 "
12/01/1995,$ 209," $ 206,298 ",1996,918,2000-12,0.46,11/01/1994," $ 24,886 "
01/01/1996,$ 207," $ 209,062 ",1997,1099,2001-01,1.05,12/01/1994," $ 25,713 "
02/01/1996,$ 219," $ 225,377 ",1998,1108,2001-02,1.89,02/01/1995," $ 23,815 "
03/01/1996,$ 215," $ 225,036 ",1999,1135,2001-03,1.48,03/01/1995," $ 26,828 "
04/01/1996,$ 258," $ 270,731 ",2000,1164,2001-04,1.15,04/01/1995," $ 26,190 "
